Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Visibility_MeanRatio,Item_Type_Combined,Outlet_Years
FDW58,20.75,Low Fat,0.007564836,Snack Foods,107.8622,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.45361361761484875,Food,14
FDW14,8.3,Regular,0.038427677,Dairy,87.3198,OUT017,2007,Small,Tier 2,Supermarket Type1,0.8975711756861386,Food,6
NCN55,14.6,Non-Edible,0.099574908,Others,241.7538,OUT010,1998,Small,Tier 3,Grocery Store,1.4342346746203014,Non-Consumable,15
FDQ58,7.315,Low Fat,0.015388393,Snack Foods,155.034,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0056625345094055,Food,6
FDY38,13.6,Regular,0.118599314,Dairy,234.23,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9953958688138376,Food,28
FDH56,9.8,Regular,0.063817206,Fruits and Vegetables,117.1492,OUT046,1997,Small,Tier 1,Supermarket Type1,0.9997287883259987,Food,16
FDL48,19.35,Regular,0.082601537,Baking Goods,50.1034,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.001019663768599,Food,4
FDC48,9.195,Low Fat,0.015782495,Baking Goods,81.0592,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9947632293844876,Food,28
FDN33,6.305,Regular,0.12336544599999999,Snack Foods,95.7436,OUT045,2002,Small,Tier 2,Supermarket Type1,0.9991382873439042,Food,11
FDA36,5.985,Low Fat,0.005698435,Baking Goods,186.8924,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0034296431341931,Food,6
FDT44,16.6,Low Fat,0.103569075,Fruits and Vegetables,118.3466,OUT017,2007,Small,Tier 2,Supermarket Type1,1.0056981187260645,Food,6
FDQ56,6.59,Low Fat,0.10581147,Fruits and Vegetables,85.3908,OUT045,2002,Small,Tier 2,Supermarket Type1,0.9981927547202926,Food,11
NCC54,17.75,Non-Edible,0.171079215,Health and Hygiene,240.4196,OUT019,1985,Small,Tier 1,Grocery Store,1.4738948350059324,Non-Consumable,28
FDU11,4.785,Low Fat,0.092737611,Breads,122.3098,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.738307417334343,Food,14
DRL59,16.75,Low Fat,0.021206463999999998,Hard Drinks,52.0298,OUT013,1987,High,Tier 3,Supermarket Type1,0.9980787864307391,Drinks,26
FDM24,6.135,Regular,0.0794507,Baking Goods,151.6366,OUT049,1999,Medium,Tier 1,Supermarket Type1,0.8562874663723882,Food,14
FDI57,19.85,Low Fat,0.05413521,Seafood,198.7768,OUT045,2002,Small,Tier 2,Supermarket Type1,1.0,Food,11
DRC12,17.85,Low Fat,0.037980963,Soft Drinks,192.2188,OUT018,2009,Medium,Tier 3,Supermarket Type2,1.0039664325540893,Drinks,4
NCM42,6.13,Non-Edible,0.028184344,Household,109.6912,OUT027,1985,Medium,Tier 3,Supermarket Type2,0.9077498594035074,Non-Consumable,28
FDA46,13.6,Low Fat,0.196897637,Snack Foods,193.7136,OUT010,1998,Small,Tier 3,Grocery Store,1.3652975577965913,Food,15
FDA31,7.1,Low Fat,0.109920138,Fruits and Vegetables,175.00799999999998,OUT013,1987,High,Tier 3,Supermarket Type1,0.8811508821635952,Food,26
NCJ31,19.2,Non-Edible,0.182619235,Others,239.9196,OUT035,2004,Small,Tier 2,Supermarket Type1,0.8545926527771225,Non-Consumable,9
