Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Visibility_MeanRatio,Item_Type_Combined,Outlet_Years,Avg_sales_product
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138,0.9229596700085654,Food,14,
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228,1.0030565792305357,Drinks,4,
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27,0.8319896179620336,Food,14,
FDX07,19.2,Regular,0.06611236082486209,Fruits and Vegetables,182.095,OUT010,1998,Small,Tier 3,Grocery Store,732.38,1.7719207712033354,Food,15,
NCD19,8.93,Non-Edible,0.06611236082486209,Household,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052,1.607074359625966,Non-Consumable,26,
FDP36,10.395,Regular,0.06611236082486209,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088,0.7968640852382918,Food,4,
FDO10,13.65,Regular,0.012741088999999999,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528,0.46901661252378324,Food,26,
FDP10,19.0,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type2,4022.7636,0.9946778305578745,Food,28,
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,2002,Small,Tier 2,Supermarket Type1,1076.5986,0.90399742766201,Food,11,
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,2007,Small,Tier 2,Supermarket Type1,4710.535,0.8736089527619524,Food,6,
FDY07,11.8,Low Fat,0.06611236082486209,Fruits and Vegetables,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266,0.7344790026694981,Food,14,
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153,0.8422409996035852,Food,16,
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646,0.9440923295047745,Food,14,
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076,0.8677308071633344,Food,16,
FDF32,16.35,Low Fat,0.06802430000000001,Fruits and Vegetables,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,1977.4260000000002,0.8893888114767369,Food,26,
FDP49,9.0,Regular,0.06908896099999999,Breakfast,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192,0.90841898602537,Food,16,
NCB42,11.8,Non-Edible,0.008596051,Health and Hygiene,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888,1.0030881886774816,Non-Consumable,4,
FDP49,9.0,Regular,0.06919637599999999,Breakfast,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982,0.9098313364786343,Food,14,
DRI11,8.26,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type2,2303.6679999999997,0.8266123043984331,Drinks,28,
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224,0.9019971960754412,Food,9,
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086,0.9964460714177477,Food,26,
FDW12,8.315,Regular,0.035399923,Baking Goods,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type2,4064.0432,0.9073565158740481,Food,28,
NCB30,14.6,Non-Edible,0.025698133999999997,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672,0.8308792770612929,Non-Consumable,9,
FDC37,15.5,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,214.3876,1.4001017843082437,Food,28,
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025,0.9977857938893345,Food,16,
NCD06,13.0,Non-Edible,0.099887103,Household,45.906000000000006,OUT017,2007,Small,Tier 2,Supermarket Type1,838.908,1.0035584629112677,Non-Consumable,6,
FDV10,7.645,Regular,0.06669343700000001,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28,0.871137298988507,Food,9,
DRJ59,11.65,Low Fat,0.019356131999999998,Hard Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312,0.6595689438053917,Drinks,26,
FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,1998,Small,Tier 3,Grocery Store,178.4344,1.390779585451742,Food,15,
FDC14,14.5,Regular,0.072221801,Canned,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,125.8362,1.3966517155494862,Food,28,
FDV38,19.25,Low Fat,0.17034855100000001,Dairy,55.7956,OUT010,1998,Small,Tier 3,Grocery Store,163.7868,1.4440173570865156,Food,15,
NCS17,18.6,Non-Edible,0.080829372,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644,1.0029482739188142,Non-Consumable,4,
FDP33,18.7,Low Fat,0.06611236082486209,Snack Foods,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0064,0.68450642552164,Food,4,
FDO23,17.85,Low Fat,0.06611236082486209,Breads,93.1436,OUT045,2002,Small,Tier 2,Supermarket Type1,2174.5028,0.4385809701860757,Food,11,
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856,0.8690040989458367,Drinks,16,
NCX29,10.0,Non-Edible,0.08929113699999999,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652,0.8494155173620084,Non-Consumable,14,
FDV20,20.2,Regular,0.059511812000000004,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type2,2797.6916,0.8353925626295245,Food,28,
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044,1.002797010324002,Drinks,4,
FDX10,6.385000000000001,Regular,0.12311145300000001,Snack Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type2,388.1614,0.9944509267341657,Food,28,
FDB34,15.25,Low Fat,0.026480953999999998,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type2,2180.495,0.9067994382722704,Food,28,
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,0.9021677878599483,Food,16,
FDK43,9.8,Low Fat,0.02681843,Meat,126.00200000000001,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534,0.886395893739413,Food,26,
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768,1.0009916175079745,Food,14,
FDC02,21.35,Low Fat,0.06910283099999999,Canned,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228,0.9029432247464673,Food,4,
FDL50,12.15,Regular,0.042277867000000004,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138,0.9965636795510627,Food,26,
FDM39,6.42,Low Fat,0.08949892599999999,Dairy,178.1002,OUT010,1998,Small,Tier 3,Grocery Store,358.2004,1.475034508970051,Food,15,
NCP05,19.6,Non-Edible,0.06611236082486209,Health and Hygiene,153.3024,OUT045,2002,Small,Tier 2,Supermarket Type1,2428.8384,1.756921406991012,Non-Consumable,11,
FDV49,10.0,Low Fat,0.025879577,Canned,265.2226,OUT045,2002,Small,Tier 2,Supermarket Type1,5815.0972,1.001589882218445,Food,11,
FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646,0.8703209432274566,Food,16,
FDS02,10.195,Regular,0.25539489600000004,Dairy,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,780.3176,1.6798733378792328,Food,28,
